Repetition,folder,TrAcc,TrAUC,TeACC,TeAUC,Sen,Spe,TrTime,TeTime
7,5,0.775480059084195,0.934287229830405,0.751479289940828,0.92056682291035,0,0,0.0621418,0.0091462
8,1,0.799113737075332,0.93579599544529,0.70414201183432,0.908090360742418,0,0,0.0605749,0.0089387
8,2,0.779585798816568,0.933188900563009,0.752941176470588,0.924885759370744,0,0,0.0639275,0.0094665
8,3,0.776957163958641,0.931673399285177,0.775147928994083,0.926053081631181,0,0,0.0623335,0.0093332
8,4,0.784342688330872,0.932663839461791,0.792899408284024,0.927693342441603,0,0,0.0596721,0.0091171
8,5,0.763663220088626,0.933786418373903,0.810650887573965,0.929864492889763,0,0,0.0596823,0.0088657
9,1,0.78877400295421,0.932438572820589,0.769230769230769,0.925081575450985,0,0,0.061312,0.0091755
9,2,0.779585798816568,0.932829862436193,0.735294117647059,0.924626857557182,0,0,0.062703,0.0088904
9,3,0.785819793205318,0.935725265667735,0.751479289940828,0.91492198907219,0,0,0.06837,0.00921
9,4,0.782865583456425,0.92746117770837,0.715976331360947,0.916345403507965,0,0,0.0610157,0.0091894
9,5,0.776957163958641,0.932380084505415,0.798816568047337,0.927544274922823,0,0,0.0616002,0.0088644
10,1,0.782865583456425,0.932363036193428,0.757396449704142,0.929935802817735,0,0,0.0724328,0.0098245
10,2,0.788461538461538,0.933023769769905,0.729411764705882,0.923880889616904,0,0,0.0603438,0.0088707
10,3,0.775480059084195,0.929492078879524,0.775147928994083,0.922829052618423,0,0,0.0621162,0.0088156
10,4,0.775480059084195,0.932506612766056,0.763313609467456,0.926673604885013,0,0,0.0639544,0.0091707
10,5,0.766617429837518,0.934658163134206,0.781065088757396,0.917353574724935,0,0,0.0706653,0.0089766
11,1,0.782865583456425,0.934013160823324,0.775147928994083,0.925255066539503,0,0,0.0595519,0.0088559
11,2,0.789940828402367,0.934279484733055,0.747058823529412,0.916945465138333,0,0,0.0688612,0.0090894
11,3,0.772525849335303,0.931541156986349,0.769230769230769,0.928492767288867,0,0,0.0717445,0.0087739
